Rank,Impact,Issue,File,Lines,Scope,Description,Fix
1,High,HTTP event routing last in chain,handler.py,687-996,Every HTTP request,"handler() if/elif chain checks 8+ non-HTTP event types before reaching HTTP paths (v2 at ~838, v1 at ~908)",Reorder to check httpMethod and version==2.0 first
2,High,inspect.getfullargspec per call,handler.py,615-632,Every event/scheduled invocation,run_function() uses reflection to inspect function signature on every invocation; signature never changes at runtime,Cache result keyed by function identity via lru_cache or instance dict
3,High,Formatter factory per request,wsgi.py,174-196,Every HTTP request,"common_log() calls ApacheNCSAFormatter(with_response_time=True/False) each request, resolving one of two static methods",Cache both formatters as module-level constants
4,Medium,datetime.now() for timing,handler.py,"497+522, 539+586, 859+886, 905+988",Every HTTP request,datetime.datetime.now() creates timezone-aware datetime objects and does arithmetic for elapsed time measurement,Replace with time.perf_counter() which is monotonic and optimized for intervals
5,Medium,Mimetype tuple rebuilt per request,handler.py,345-383,Every request with BINARY_SUPPORT,"_process_response_body rebuilds handle_as_text_mimetypes tuple via concatenation on each call; settings don't change between requests",Compute once during __init__ and store on self
6,Medium,Double merge_headers call,handler.py + wsgi.py,911 + 122,Every v1 HTTP request,"merge_headers(event) called in handler() for host/ELB detection, then called again inside create_wsgi_request via process_lambda_payload_v1",Pass already-merged headers into create_wsgi_request or restructure host/ELB check
7,Medium,Fake WSGI environ for ASGI logging,handler.py,593-612,Every ASGI request,"_log_asgi_request builds a synthetic WSGI-like environ dict (iterating and decoding all headers) just to pass to common_log",Create lightweight ASGI-native log function that reads directly from scope
8,Low,response.content = response.data copy,handler.py,"889, 991",Every WSGI request,"Assigns .data back to .content just so common_log can call len(response.content); _LogResponse namedtuple exists but isn't used here",Use _LogResponse namedtuple or pass content_length directly to log function
9,Low,titlecase_keys dict copy,wsgi.py,47,Every request,"titlecase_keys(headers) creates a full dict copy with title-cased keys for 15-20 headers per request",Title-case inline during existing header iteration or only when looking up specific keys
10,Low,Module-level import boto3,handler.py,17,Cold start only,"boto3 imported unconditionally at module level; HTTP requests never use it. ~50-100ms on first cold start, negligible after",Lazy-import boto3 inside methods that need it (_get_boto_session / load_remote_*)
